pickup_zip,dropoff_zip,distance_miles
61845,33433,1076.5
33433,86314,1992.3
86314,33433,1992.3
33433,28538,643.5
28538,33433,643.5
33433,68071,1433.6
68071,33433,1433.6
33433,45836,1015.5
45836,33433,1015.5
33433,11369,1057.0
11369,33433,1057.0
33433,97703,2603.4
97703,33433,2603.4
33433,01606,1198.4
01606,33433,1198.4
33433,50585,1420.8
50585,33433,1420.8
33433,04924,1401.4
04924,33433,1401.4
33433,63108,1030.7
63108,33433,1030.7
33433,13111,1182.8
13111,33433,1182.8
33433,49441,1211.0
49441,33433,1211.0
33433,67059,1353.4
67059,33433,1353.4
33433,14860,1135.4
14860,33433,1135.4
33433,31743,447.6
31743,33433,447.6
33433,16735,1056.2
16735,33433,1056.2
33433,90278,2332.3
90278,33433,2332.3
33433,50111,1312.4
50111,33433,1312.4
33433,27803,671.8
27803,33433,671.8
33433,71048,884.1
71048,33433,884.1
33433,62221,1011.8
62221,33433,1011.8
33433,55769,1620.9
55769,33433,1620.9
33433,25420,905.9
25420,33433,905.9
33433,92394,2276.9
92394,33433,2276.9
33433,48861,1160.9
48861,33433,1160.9
33433,70757,745.8
70757,33433,745.8
33433,74855,1175.5
74855,33433,1175.5
33433,77514,912.8
77514,33433,912.8
33433,51537,1362.0
51537,33433,1362.0
33433,76226,1121.9
76226,33433,1121.9
33433,49106,1134.2
49106,33433,1134.2
33433,31909,514.4
31909,33433,514.4
33433,29560,516.4
29560,33433,516.4
33433,22207,883.2
22207,33433,883.2
33433,52555,1223.4
52555,33433,1223.4
33433,53952,1313.7
53952,33433,1313.7
60614,75201,805.5
75201,60614,805.5
60614,90210,1752.3
90210,60614,1752.3
60614,90280,1745.9
90280,60614,1745.9
60614,26384,418.0
26384,60614,418.0
60614,71935,616.1
71935,60614,616.1
60614,44706,333.9
44706,60614,333.9
60614,32063,860.4
32063,60614,860.4
60614,60187,24.1
60187,60614,24.1
60614,83465,1321.2
83465,60614,1321.2
60614,32258,880.8
32258,60614,880.8
60614,53022,93.3
53022,60614,93.3
60614,58654,866.2
58654,60614,866.2
60614,47120,251.4
47120,60614,251.4
60614,68715,512.8
68715,60614,512.8
60614,36049,704.4
36049,60614,704.4
60614,52325,222.0
52325,60614,222.0
60614,72046,559.0
72046,60614,559.0
60614,64659,330.4
64659,60614,330.4
60614,97640,1678.5
97640,60614,1678.5
60614,92656,1734.3
92656,60614,1734.3
60614,47616,254.8
47616,60614,254.8
60614,27601,644.7
27601,60614,644.7
60614,97364,1824.1
97364,60614,1824.1
60614,64112,416.4
64112,60614,416.4
60614,32266,872.4
32266,60614,872.4
60614,44076,354.2
44076,60614,354.2
60614,66223,426.0
66223,60614,426.0
60614,56589,538.4
56589,60614,538.4
60614,91770,1736.6
91770,60614,1736.6
60614,28169,563.7
28169,60614,563.7
60614,25843,456.0
25843,60614,456.0
60614,51649,416.3
51649,60614,416.3
60614,99158,1495.4
99158,60614,1495.4
60614,55713,459.3
55713,60614,459.3
60614,20779,623.4
20779,60614,623.4
60614,44087,324.2
44087,60614,324.2
60614,04220,888.5
04220,60614,888.5
60614,92602,1729.3
92602,60614,1729.3
60614,44417,363.0
44417,60614,363.0
60614,12768,666.4
12768,60614,666.4
60614,63030,308.3
63030,60614,308.3
60614,05250,741.8
05250,60614,741.8
60614,87113,1121.8
87113,60614,1121.8
60614,41222,383.6
41222,60614,383.6
60614,32948,1054.0
32948,60614,1054.0
60614,71286,668.9
71286,60614,668.9
60614,67751,695.7
67751,60614,695.7
60614,04956,903.6
04956,60614,903.6
60614,04668,1023.7
04668,60614,1023.7
60614,29714,617.1
29714,60614,617.1
60614,70516,837.8
70516,60614,837.8
60614,28027,586.2
28027,60614,586.2
60614,81073,859.5
81073,60614,859.5
60614,46501,87.2
46501,60614,87.2
60614,70114,837.0
70114,60614,837.0
60614,11003,729.5
11003,60614,729.5
60614,68130,445.2
68130,60614,445.2
60614,59642,1183.6
59642,60614,1183.6
60614,80468,974.2
80468,60614,974.2
60614,43346,218.8
43346,60614,218.8
60614,41567,414.4
41567,60614,414.4
60614,50665,266.5
50665,60614,266.5
60614,20716,612.0
20716,60614,612.0
60614,25981,453.7
25981,60614,453.7
60614,78739,990.7
78739,60614,990.7
60614,61845,113.9
61845,60614,113.9
60614,86314,1427.9
86314,60614,1427.9
60614,28538,705.4
28538,60614,705.4
60614,68071,454.0
68071,60614,454.0
60614,45836,222.4
45836,60614,222.4
60614,11369,720.2
11369,60614,720.2
60614,97703,1710.4
97703,60614,1710.4
60614,01606,814.0
01606,60614,814.0
60614,50585,389.0
50585,60614,389.0
60614,04924,930.9
04924,60614,930.9
